Fragment_length Count Normalized_Frequency Reference_Normalised_Freq	Sampling_Lines
24 354 0.000026 1.3434701388555048e-05	59
25 1525 0.000113 6.325502259467238e-05	277
26 2069 0.000154 9.204164703232565e-05	404
27 2460 0.000183 0.00011744733525556497	515
28 2809 0.000209 0.00013563835857788743	595
29 4399 0.000327 0.00016278160932738464	715
30 4965 0.000369 0.0001792476476921183	787
31 5047 0.000375 0.00018868125297472096	828
32 6453 0.000480 0.0002134750710675901	937
33 7207 0.000536 0.00022794885114051588	1001
34 8613 0.000640 0.00024975020837854735	1097
35 140696 0.010459 0.0014776522150791896	6491
36 138631 0.010305 0.0014743897652787156	6477
37 137143 0.010195 0.001485015523973469	6523
38 138172 0.010271 0.0015043343835954297	6608
39 140696 0.010459 0.0015441531079519995	6783
40 149436 0.011109 0.001625724786628769	7142
41 154545 0.011489 0.001710407984281983	7514
42 154015 0.011449 0.0017611524709314483	7737
43 145186 0.010793 0.0017083165347099888	7505
44 135159 0.010047 0.0016639347256110228	7310
45 133165 0.009899 0.001679941682719333	7380
46 136621 0.010156 0.0017383063179323784	7636
47 139156 0.010345 0.0018419469130352317	8092
48 144520 0.010743 0.00196674312156649	8640
49 148718 0.011055 0.0021005112814394267	9228
50 153396 0.011403 0.0022367662267359354	9826
51 156179 0.011610 0.002364366804299661	10387
52 156624 0.011643 0.0024951053423194194	10961
53 154008 0.011449 0.002561330529169925	11252
54 143068 0.010635 0.002504028126801755	11000
55 134257 0.009980 0.0024387070956262604	10713
56 128845 0.009578 0.0024094791128698536	10585
57 124148 0.009229 0.0023914433081790617	10506
58 121390 0.009024 0.0023771527604133386	10443
59 120513 0.008959 0.0023517913795342744	10331
60 120121 0.008930 0.002319703143320973	10190
61 117967 0.008769 0.0022587755426377574	9923
62 116244 0.008641 0.002198585444844687	9658
63 112416 0.008357 0.0021164779331572293	9298
64 109190 0.008117 0.002007235889262192	8818
65 103843 0.007719 0.0019105544057332054	8393
66 99295 0.007381 0.001858725961347527	8165
67 98568 0.007327 0.0018383688806026957	8076
68 96617 0.007182 0.0018269437316628687	8026
69 94503 0.007025 0.0018190244370626467	7991
70 94844 0.007050 0.001799367126501953	7905
71 93428 0.006945 0.0018019049368347849	7916
72 95242 0.007080 0.0018425553529196014	8094
73 96202 0.007151 0.0018783176684534577	8251
74 93881 0.006979 0.0018156465023134835	7976
75 88607 0.006587 0.0017111594940099637	7517
76 86749 0.006449 0.0016421776757171668	7214
77 83382 0.006198 0.0015993822124665956	7026
78 82544 0.006136 0.001603955873800827	7046
79 81305 0.006044 0.0016426975009131855	7216
80 83229 0.006187 0.0016842059072789204	7399
81 84091 0.006251 0.0017343300911099307	7619
82 87119 0.006476 0.0018517002458304805	8134
83 90952 0.006761 0.0020275296533829278	8907
84 90263 0.006710 0.002004516704672075	8806
85 84204 0.006260 0.0017955778480865422	7888
86 79251 0.005891 0.0015992520060454866	7025
87 74865 0.005565 0.001497306381247716	6577
88 73043 0.005430 0.0014724512475075848	6468
89 72531 0.005392 0.0015029812944750806	6602
90 72310 0.005375 0.0015874355232077494	6973
91 74620 0.005547 0.0016512568222463663	7254
92 75393 0.005605 0.001747204233131209	7675
93 80266 0.005967 0.0019098364838306477	8390
94 81532 0.006061 0.0020472960171810596	8994
95 82519 0.006134 0.002038709682660623	8956
96 76253 0.005668 0.0018613901190747168	8177
97 71596 0.005322 0.0016948543913534284	7445
98 70329 0.005228 0.0016458104491587967	7230
99 69730 0.005184 0.0016824476203497417	7391
100 68894 0.005121 0.001761781349364905	7739
101 69324 0.005153 0.0018419137539905587	8091
102 71252 0.005297 0.0019067266799772035	8376
103 71408 0.005308 0.001955763761679834	8592
104 70214 0.005220 0.0019788517470219515	8693
105 69584 0.005173 0.0019634696663934303	8625
106 68270 0.005075 0.0019275306931905393	8468
107 66436 0.004939 0.0018740661643894562	8233
108 65493 0.004869 0.0018447582854866174	8104
109 63074 0.004689 0.0018502662600752822	8128
110 62299 0.004631 0.0018778838852612893	8249
111 61337 0.004560 0.0019237905816344714	8451
112 63377 0.004711 0.0019777303424335646	8688
113 63350 0.004709 0.0020616684620700485	9057
114 62815 0.004670 0.002157347313278422	9477
115 63345 0.004709 0.002149187758531236	9441
116 60176 0.004473 0.0020405129915685607	8964
117 56540 0.004203 0.0019312289271600155	8484
118 55972 0.004161 0.0019090396662700744	8386
119 57060 0.004242 0.0019685051245955025	8648
120 57220 0.004254 0.0021004219521164927	9227
121 56119 0.004172 0.0022855414663271807	10040
122 58095 0.004319 0.002517518712614738	11060
123 61333 0.004559 0.002882306937214127	12662
124 65968 0.004904 0.0034322378301847086	15078
125 68006 0.005055 0.003931602466370944	17272
126 65511 0.004870 0.003985093579578531	17507
127 63692 0.004735 0.003552271427997865	15605
128 57769 0.004294 0.003043953278042205	13372
129 54716 0.004067 0.0028234855075753252	12404
130 57003 0.004237 0.003062901099388426	13455
131 56301 0.004185 0.0034299560019596773	15068
132 60862 0.004524 0.003938230416278828	17301
133 62064 0.004614 0.00450815778538342	19805
134 67641 0.005028 0.005198637291154938	22838
135 72825 0.005414 0.0060504032477782955	26580
136 76723 0.005703 0.006845863860204346	30075
137 74204 0.005516 0.007149275407748265	31408
138 71523 0.005317 0.006921896406224611	30409
139 66474 0.004942 0.006637384513655986	29159
140 68827 0.005116 0.006874006313028456	30199
