Fragment_length	Count	Normalized_Frequency
24	354	0.000026
25	1525	0.000113
26	2069	0.000154
27	2460	0.000183
28	2809	0.000209
29	4399	0.000327
30	4965	0.000369
31	5047	0.000375
32	6453	0.000480
33	7207	0.000536
34	8613	0.000640
35	140696	0.010459
36	138631	0.010305
37	137143	0.010195
38	138172	0.010271
39	140696	0.010459
40	149436	0.011109
41	154545	0.011489
42	154015	0.011449
43	145186	0.010793
44	135159	0.010047
45	133165	0.009899
46	136621	0.010156
47	139156	0.010345
48	144520	0.010743
49	148718	0.011055
50	153396	0.011403
51	156179	0.011610
52	156624	0.011643
53	154008	0.011449
54	143068	0.010635
55	134257	0.009980
56	128845	0.009578
57	124148	0.009229
58	121390	0.009024
59	120513	0.008959
60	120121	0.008930
61	117967	0.008769
62	116244	0.008641
63	112416	0.008357
64	109190	0.008117
65	103843	0.007719
66	99295	0.007381
67	98568	0.007327
68	96617	0.007182
69	94503	0.007025
70	94844	0.007050
71	93428	0.006945
72	95242	0.007080
73	96202	0.007151
74	93881	0.006979
75	88607	0.006587
76	86749	0.006449
77	83382	0.006198
78	82544	0.006136
79	81305	0.006044
80	83229	0.006187
81	84091	0.006251
82	87119	0.006476
83	90952	0.006761
84	90263	0.006710
85	84204	0.006260
86	79251	0.005891
87	74865	0.005565
88	73043	0.005430
89	72531	0.005392
90	72310	0.005375
91	74620	0.005547
92	75393	0.005605
93	80266	0.005967
94	81532	0.006061
95	82519	0.006134
96	76253	0.005668
97	71596	0.005322
98	70329	0.005228
99	69730	0.005184
100	68894	0.005121
101	69324	0.005153
102	71252	0.005297
103	71408	0.005308
104	70214	0.005220
105	69584	0.005173
106	68270	0.005075
107	66436	0.004939
108	65493	0.004869
109	63074	0.004689
110	62299	0.004631
111	61337	0.004560
112	63377	0.004711
113	63350	0.004709
114	62815	0.004670
115	63345	0.004709
116	60176	0.004473
117	56540	0.004203
118	55972	0.004161
119	57060	0.004242
120	57220	0.004254
121	56119	0.004172
122	58095	0.004319
123	61333	0.004559
124	65968	0.004904
125	68006	0.005055
126	65511	0.004870
127	63692	0.004735
128	57769	0.004294
129	54716	0.004067
130	57003	0.004237
131	56301	0.004185
132	60862	0.004524
133	62064	0.004614
134	67641	0.005028
135	72825	0.005414
136	76723	0.005703
137	74204	0.005516
138	71523	0.005317
139	66474	0.004942
140	68827	0.005116
141	73278	0.005447
142	78307	0.005821
143	82843	0.006158
144	87805	0.006527
145	86705	0.006445
146	84715	0.006298
147	81043	0.006025
148	79392	0.005902
149	77495	0.005761
150	75467	0.005610
151	74271	0.005521
152	74610	0.005546
153	76980	0.005723
154	76163	0.005662
155	81634	0.006068
156	81652	0.006070
157	78974	0.005871
158	78103	0.005806
159	79060	0.005877
160	79654	0.005921
161	82894	0.006162
162	83905	0.006237
163	83864	0.006234
164	88305	0.006564
